year,poverty_rate,state
1979,14.80,Massachusetts
1979,22.40,South Dakota
1979,23.70,Florida
1979,20.10,New York
1979,11.80,Wisconsin
1979,21.80,Texas
1979,15.40,Iowa
1979,19.70,Maine
1979,15.60,Pennsylvania
1979,16.60,Utah
1979,25.30,Arizona
1979,26.10,Arkansas
1979,16.30,Oregon
1979,16.80,Virginia
1979,15.20,New Hampshire
1979,18.00,Idaho
1979,15.00,Hawaii
1979,15.30,Colorado
1979,21.80,North Dakota
1979,14.80,Michigan
1979,16.40,Illinois
1979,26.10,Alabama
1979,22.70,Tennessee
1979,12.90,Wyoming
1979,19.60,Georgia
1979,14.00,Maryland
1979,15.00,Minnesota
1979,19.00,California
1979,13.90,Delaware
1979,17.20,Vermont
1979,16.10,Nevada
1979,18.10,Missouri
1979,19.00,Nebraska
1979,26.90,Mississippi
1979,14.70,Ohio
1979,15.10,Kansas
1979,17.20,Oklahoma
1979,20.40,North Carolina
1980,25.80,Mississippi
1980,16.90,Oregon
1980,23.60,Florida
1980,20.50,California
1980,24.20,South Carolina
1980,17.50,Vermont
1980,22.30,South Dakota
1980,19.90,Maine
1980,21.50,North Carolina
1980,16.40,New Hampshire
1980,19.10,Nebraska
1980,20.90,North Dakota
1980,12.40,Wyoming
1980,20.40,Georgia
1980,14.80,Delaware
1980,23.60,Tennessee
1980,12.30,Wisconsin
1980,15.70,Iowa
1980,15.70,Massachusetts
1980,26.10,Alabama
1980,17.30,Oklahoma
1980,14.60,Kansas
1980,15.10,Ohio
1980,14.65,National
1980,15.60,Washington
1980,16.10,Hawaii
1980,19.50,Montana
1980,17.10,Virginia
1980,25.60,New Mexico
1980,15.20,Maryland
1980,20.70,New York
1980,26.20,Arkansas
1980,15.60,Colorado
1980,16.80,Illinois
1980,21.60,Texas
1980,16.00,Minnesota
1980,15.60,Rhode Island
1980,16.80,Indiana
1980,18.20,Idaho
1980,21.30,Kentucky
1980,23.10,West Virginia
1980,18.00,Missouri
1980,15.40,Nevada
1980,25.51,Arizona
1980,10.80,Connecticut
1980,16.20,Michigan
1980,19.90,Alaska
1980,17.10,New Jersey
1980,15.80,Pennsylvania
1980,24.50,Louisiana
1980,16.60,Utah
1981,15.20,Colorado
1981,15.60,Delaware
1981,13.40,Wisconsin
1981,18.30,Vermont
1981,23.80,Tennessee
1981,22.10,California
1981,18.20,Oregon
1981,21.80,North Carolina
1981,17.70,Hawaii
1981,23.50,Florida
1981,20.40,North Dakota
1981,21.70,Texas
1981,17.30,Utah
1981,20.00,Idaho
1981,16.80,Pennsylvania
1981,27.09,Arizona
1981,19.80,Montana
1981,14.60,Nevada
1981,17.60,Illinois
1981,15.77,National
1981,19.40,Maine
1981,22.00,Kentucky
1981,24.80,Louisiana
1981,19.80,Alaska
1981,16.90,New Hampshire
1981,15.30,Maryland
1981,14.10,Wyoming
1981,26.90,Arkansas
1981,17.50,Rhode Island
1981,20.40,Nebraska
1981,17.60,Virginia
1981,17.90,New Jersey
1981,21.80,New York
1981,17.90,Indiana
1981,26.70,New Mexico
1981,18.10,Oklahoma
1981,23.50,South Dakota
1981,11.30,Connecticut
1981,26.20,Alabama
1981,15.60,Massachusetts
1981,24.00,West Virginia
1981,16.10,Ohio
1981,15.30,Kansas
1981,18.00,Michigan
1981,24.80,South Carolina
1981,18.80,Missouri
1981,16.80,Minnesota
1981,15.60,Washington
1981,16.70,Iowa
1981,21.40,Georgia
1981,26.50,Mississippi
1982,20.00,Montana
1982,15.80,Colorado
1982,15.70,Massachusetts
1982,18.70,Indiana
1982,17.80,Vermont
1982,28.25,Arizona
1982,16.54,National
1982,18.10,Iowa
1982,17.60,Utah
1982,18.70,Illinois
1982,15.10,Nevada
1982,27.70,Arkansas
1982,15.70,Kansas
1982,18.10,Oklahoma
1982,16.70,Ohio
1982,17.60,Virginia
1982,19.80,Michigan
1982,17.60,New Jersey
1982,24.90,Louisiana
1982,24.90,West Virginia
1982,17.00,Minnesota
1982,19.70,Missouri
1982,17.00,New Hampshire
1982,27.50,Mississippi
1982,19.50,Maine
1982,25.90,Alabama
1982,14.90,Wisconsin
1982,23.10,South Dakota
1982,18.40,Alaska
1982,19.20,Oregon
1982,15.60,Maryland
1982,16.10,Washington
1982,23.30,Kentucky
1982,22.20,Georgia
1982,21.00,Nebraska
1982,22.40,New York
1982,19.80,North Dakota
1982,27.10,New Mexico
1982,23.90,Florida
1982,12.00,Connecticut
1982,18.00,Pennsylvania
1982,18.20,Hawaii
1982,21.80,Texas
1982,19.00,Rhode Island
1982,20.80,Idaho
1982,14.90,Wyoming
1982,24.00,Tennessee
1982,16.30,Delaware
1982,22.00,North Carolina
1982,23.00,California
1982,24.80,South Carolina
1983,18.70,Oklahoma
1983,18.00,Utah
1983,19.80,Missouri
1983,23.60,California
1983,21.20,Idaho
1983,17.90,Alaska
1983,22.50,South Dakota
1983,15.20,Maryland
1983,24.60,Louisiana
1983,11.20,Connecticut
1983,20.20,Michigan
1983,18.80,Rhode Island
1983,16.50,Kansas
1983,26.40,Alabama
1983,19.80,Oregon
1983,19.20,Hawaii
1983,19.60,Iowa
1983,17.60,Vermont
1983,16.70,Washington
1983,15.90,New Hampshire
1983,19.80,Illinois
1983,19.10,Maine
1983,24.20,Tennessee
1983,17.30,Virginia
1983,15.70,Massachusetts
1983,22.60,New York
1983,28.50,Mississippi
1983,21.10,Montana
1983,15.60,Wyoming
1983,16.20,Colorado
1983,18.40,Indiana
1983,27.02,Arizona
1983,22.00,Texas
1983,23.70,Kentucky
1983,18.20,Pennsylvania
1983,24.50,South Carolina
1983,26.70,New Mexico
1983,18.90,North Dakota
1983,20.80,Nebraska
1983,27.00,West Virginia
1983,17.20,Ohio
1983,16.78,National
1983,17.60,Minnesota
1983,16.90,Delaware
1983,17.00,New Jersey
1983,23.20,Georgia
1983,16.10,Nevada
1983,15.50,Wisconsin
1983,28.30,Arkansas
1983,23.50,Florida
1983,21.80,North Carolina
1984,18.20,Utah
1984,19.10,Hawaii
1984,22.40,Texas
1984,17.20,Colorado
1984,22.40,Montana
1984,16.04,National
1984,19.40,Iowa
1984,17.70,Maine
1984,17.70,Vermont
1984,22.10,South Dakota
1984,17.90,Minnesota
1984,29.30,Mississippi
1984,19.80,Oregon
1984,18.40,North Dakota
1984,23.80,South Carolina
1984,15.60,Maryland
1984,10.80,Connecticut
1984,20.30,Nebraska
1984,18.00,Pennsylvania
1984,23.00,Georgia
1984,23.70,Kentucky
1984,19.20,Alaska
1984,17.20,Washington
1984,26.90,New Mexico
1984,22.40,Idaho
1984,15.90,Virginia
1984,23.90,Tennessee
1984,15.30,Massachusetts
1984,26.12,Arizona
1984,17.70,Rhode Island
1984,19.60,Oklahoma
1984,22.20,New York
1984,18.30,Indiana
1984,25.00,Louisiana
1984,20.20,Illinois
1984,16.30,Kansas
1984,26.30,Alabama
1984,28.20,Arkansas
1984,27.90,West Virginia
1984,17.10,Wyoming
1984,17.10,Ohio
1984,16.50,New Jersey
1984,20.00,Michigan
1984,22.50,Florida
1984,19.60,Missouri
1984,16.20,Wisconsin
1984,21.30,North Carolina
1984,13.90,New Hampshire
1984,23.50,California
1984,16.80,Delaware
1984,15.70,Nevada
1985,22.70,California
1985,27.70,West Virginia
1985,19.70,North Carolina
1985,15.70,Kansas
1985,21.50,Florida
1985,19.10,Nebraska
1985,16.80,Maine
1985,14.80,Massachusetts
1985,15.72,National
1985,26.30,Alabama
1985,30.00,Mississippi
1985,26.20,New Mexico
1985,15.20,Virginia
1985,21.90,South Carolina
1985,27.50,Arkansas
1985,19.30,Oregon
1985,21.50,New York
1985,17.70,Utah
1985,15.90,Rhode Island
1985,17.60,Indiana
1985,15.90,Delaware
1985,24.30,Kentucky
1985,16.90,Ohio
1985,20.70,Illinois
1985,11.80,New Hampshire
1985,22.60,Tennessee
1985,16.80,Washington
1985,21.70,Georgia
1985,15.10,New Jersey
1985,19.50,Alaska
1985,10.80,Connecticut
1985,25.14,Arizona
1985,22.80,Idaho
1985,19.10,Michigan
1985,16.40,Nevada
1985,16.70,Minnesota
1985,16.60,Vermont
1985,20.20,Oklahoma
1985,17.30,Colorado
1985,25.20,Louisiana
1985,16.10,Wisconsin
1985,16.80,Wyoming
1985,17.90,North Dakota
1985,22.40,Texas
1985,22.40,Montana
1985,17.50,Pennsylvania
1985,19.30,Iowa
1985,21.40,South Dakota
1985,18.50,Hawaii
1985,18.80,Missouri
1985,14.20,Maryland
1986,15.00,Vermont
1986,17.60,Michigan
1986,20.90,South Carolina
1986,13.30,New Jersey
1986,9.60,Connecticut
1986,17.20,Nebraska
1986,16.40,Ohio
1986,26.10,Louisiana
1986,14.50,Massachusetts
1986,24.38,Arizona
1986,17.10,North Dakota
1986,26.10,New Mexico
1986,20.20,Oklahoma
1986,20.20,Georgia
1986,18.20,Missouri
1986,16.10,Minnesota
1986,27.40,West Virginia
1986,17.00,Utah
1986,20.10,South Dakota
1986,22.30,Montana
1986,17.80,Oregon
1986,29.60,Mississippi
1986,18.00,Colorado
1986,26.00,Alabama
1986,26.90,Arkansas
1986,16.70,Maine
1986,22.60,Texas
1986,22.10,Idaho
1986,14.30,Kansas
1986,20.30,Illinois
1986,22.40,Tennessee
1986,15.00,Wisconsin
1986,24.50,Kentucky
1986,22.10,California
1986,17.30,Hawaii
1986,20.70,Florida
1986,15.60,Delaware
1986,15.80,Washington
1986,17.10,Nevada
1986,16.20,Pennsylvania
1986,20.50,New York
1986,15.20,National
1986,14.40,Virginia
1986,18.10,Iowa
1986,16.00,Indiana
1986,10.30,New Hampshire
1986,14.10,Rhode Island
1986,15.60,Wyoming
1986,18.90,North Carolina
1986,19.00,Alaska
1986,14.40,Maryland
1987,15.80,Ohio
1987,16.40,North Dakota
1987,25.60,Alabama
1987,25.70,New Mexico
1987,16.20,Nebraska
1987,14.00,Kansas
1987,29.10,Mississippi
1987,26.60,West Virginia
1987,12.40,Rhode Island
1987,19.50,Illinois
1987,9.60,New Hampshire
1987,22.10,California
1987,14.40,Maryland
1987,18.40,North Carolina
1987,15.00,Delaware
1987,14.80,Wyoming
1987,22.30,Tennessee
1987,17.40,Oregon
1987,23.70,Kentucky
1987,17.30,Hawaii
1987,18.60,Colorado
1987,22.40,Montana
1987,14.50,Virginia
1987,19.60,Alaska
1987,22.70,Texas
1987,20.40,South Carolina
1987,16.40,Michigan
1987,14.20,Massachusetts
1987,19.50,Florida
1987,21.30,Idaho
1987,23.62,Arizona
1987,17.00,Utah
1987,19.60,New York
1987,14.20,Vermont
1987,16.80,Nevada
1987,14.90,Pennsylvania
1987,19.20,South Dakota
1987,15.70,Indiana
1987,17.60,Missouri
1987,15.10,Washington
1987,16.30,Maine
1987,20.80,Oklahoma
1987,13.30,Wisconsin
1987,15.90,Minnesota
1987,19.40,Georgia
1987,14.48,National
1987,26.50,Louisiana
1987,12.70,New Jersey
1987,8.70,Connecticut
1987,26.10,Arkansas
1987,16.90,Iowa
1988,22.20,Montana
1988,15.40,Minnesota
1988,12.60,New Jersey
1988,20.30,Oklahoma
1988,28.50,Mississippi
1988,22.30,Texas
1988,15.30,Ohio
1988,14.20,Wyoming
1988,21.80,Tennessee
1988,17.30,Hawaii
1988,22.80,Kentucky
1988,14.50,Pennsylvania
1988,9.30,New Hampshire
1988,14.70,Massachusetts
1988,19.20,Florida
1988,16.30,Utah
1988,13.60,Washington
1988,8.80,Connecticut
1988,24.90,Alabama
1988,15.50,Indiana
1988,13.70,Kansas
1988,16.20,Nevada
1988,15.60,Maine
1988,14.40,Virginia
1988,24.46,Arizona
1988,15.00,Iowa
1988,17.60,Missouri
1988,18.00,North Carolina
1988,13.90,Delaware
1988,24.70,West Virginia
1988,14.81,National
1988,21.00,Idaho
1988,19.20,Alaska
1988,12.50,Wisconsin
1988,16.00,Michigan
1988,19.30,Colorado
1988,19.20,New York
1988,20.00,South Carolina
1988,18.60,Illinois
1988,17.90,South Dakota
1988,25.00,Arkansas
1988,25.50,New Mexico
1988,18.50,Georgia
1988,14.30,Maryland
1988,12.00,Rhode Island
1988,27.30,Louisiana
1988,22.10,California
1988,15.90,North Dakota
1988,15.20,Nebraska
1988,13.90,Vermont
1988,17.50,Oregon
1989,17.90,North Carolina
1989,13.60,Kansas
1989,13.80,Nebraska
1989,16.00,Utah
1989,21.80,Texas
1989,14.40,Iowa
1989,11.80,Wisconsin
1989,13.50,Vermont
1989,12.70,Delaware
1989,19.30,Florida
1989,16.80,Nevada
1989,22.90,West Virginia
1989,16.60,South Dakota
1989,15.40,Massachusetts
1989,15.80,Indiana
1989,19.30,Idaho
1989,13.00,Wyoming
1989,20.40,Oklahoma
1989,18.70,Colorado
1989,21.50,Montana
1989,19.40,New York
1989,25.28,Arizona
1989,20.50,Tennessee
1989,16.30,Maine
1989,22.80,California
1989,19.30,South Carolina
1989,14.50,Pennsylvania
1989,12.60,New Jersey
1989,14.50,Minnesota
1989,23.90,Alabama
1989,23.60,Arkansas
1989,16.90,Hawaii
1989,12.10,Washington
1989,13.00,Maryland
1989,18.40,Illinois
1989,15.00,Ohio
1989,17.60,Alaska
1989,9.10,Connecticut
1989,17.50,Missouri
1989,27.70,Mississippi
1989,22.50,Kentucky
1989,18.80,Georgia
1989,14.30,National
1989,12.40,Rhode Island
1989,15.50,North Dakota
1989,15.90,Michigan
1989,17.00,Oregon
1989,10.30,New Hampshire
1989,25.90,New Mexico
1989,27.10,Louisiana
1989,14.90,Virginia
1990,17.00,Maine
1990,14.80,Ohio
1990,20.50,Oklahoma
1990,14.84,National
1990,13.20,New Jersey
1990,13.30,Wyoming
1990,20.40,Tennessee
1990,23.10,Arkansas
1990,17.70,Missouri
1990,17.90,Hawaii
