year,state,population_million,education_million,welfare_million,crime_rate,unemployment_rate,divorce_rate_per_1000_people,homeownership_rate,minimum_wage_effective,CPI_Average,avg_wage_index,poverty_rate
2000,Missouri,5.606,9342.9,1692.3,490.0,3.4,4.0,74.2,5.15,172.2,32154.82,10.2
2001,Missouri,5.644,10023.7,2038.0,540.5,4.5,4.0,74.0,5.15,177.1,32921.92,10.3
2002,Missouri,5.681,10720.1,2331.9,539.0,5.3,3.9,74.8,5.15,179.9,33252.09,10.1
2003,Missouri,5.715,10841.5,2504.9,490.8,5.7,3.8,74.0,5.15,184.0,34064.95,10.2
2004,Missouri,5.757999999999999,11040.1,2392.9,490.1,5.9,3.7,72.4,5.15,188.9,35648.55,10.4
2005,Missouri,5.807,11562.3,2354.7,525.7,5.4,3.6,72.3,5.15,195.3,36952.94,10.5
2006,Missouri,5.862,12190.1,2196.7,545.9,4.9,3.7,71.9,5.15,201.6,38651.41,10.2
2007,Missouri,5.91,13000.4,2420.9,560.7,5.1,3.6,70.4,6.5,207.342,40405.48,10.6
2008,Missouri,5.956,14281.0,2562.1,502.4,6.2,3.5,71.4,6.65,215.303,41334.97,11.3
2009,Missouri,5.9879999999999995,14713.4,3027.8,492.9,9.0,3.5,72.0,7.05,214.537,40711.61,11.5
2010,Missouri,5.996,14506.3,4020.3,457.7,9.5,3.6,71.2,7.25,218.05599999999998,41673.83,11.6
2011,Missouri,6.011,13990.0,3409.2,447.5,8.6,3.6,71.1,7.25,224.93900000000002,42979.61,12.3
2012,Missouri,6.026,14515.4,2702.6,451.3,7.2,3.4,70.8,7.25,229.59400000000002,44321.67,11.8
2013,Missouri,6.042999999999999,14601.1,2227.7,433.7,6.8,3.3,71.3,7.35,232.957,44888.16,11.4
2014,Missouri,6.059,14831.8,2330.2,443.3,6.2,3.2,70.5,7.5,236.736,46481.52,11.3
1984,Montana,0.792,761.1,305.9,237.6,7.5,4.9778,66.4,3.35,103.9,16135.07,22.4
1985,Montana,0.7929999999999999,805.7,348.4,208.5,7.7,4.9222,66.5,3.35,107.6,16822.51,22.4
1986,Montana,0.794,848.2,360.7,157.4,7.9,4.8667,64.4,3.35,109.6,17321.82,22.3
1987,Montana,0.795,878.1,410.2,151.2,7.5,4.8111,65.0,3.35,113.6,18426.51,22.4
1988,Montana,0.797,872.5,403.0,123.0,6.6,4.7556,65.4,3.35,118.3,19334.04,22.2
1989,Montana,0.7979999999999999,873.8,431.2,116.0,6.0,4.7,67.9,3.35,124.0,20099.55,21.5
1990,Montana,0.799,954.1,526.3,159.3,6.1,4.7,69.1,3.35,130.7,21027.98,20.6
1991,Montana,0.809,1065.3,562.1,139.9,6.9,4.6429,69.6,3.8,136.2,21811.6,20.0
1992,Montana,0.8190000000000001,1091.3,241.8,169.9,6.7,4.5857,69.9,4.25,140.3,22935.42,18.9
1993,Montana,0.8290000000000001,1157.7,272.6,177.5,6.1,4.5286,69.7,4.25,144.5,23132.67,17.2
1994,Montana,0.8390000000000001,1293.5,277.8,177.1,5.5,4.4714,68.8,4.25,148.2,23753.53,16.2
1995,Montana,0.8490000000000001,1417.6,307.5,171.4,5.7,4.4143,68.7,4.25,152.4,24705.66,15.9
1996,Montana,0.8590000000000001,1481.8,335.5,161.0,5.6,4.3571,68.6,4.25,156.9,25913.9,15.3
1997,Montana,0.87,1464.3,352.9,132.1,5.5,4.3,67.5,4.75,160.5,27426.0,15.6
1998,Montana,0.8809999999999999,1480.2,284.7,204.2,5.6,4.2,68.6,5.15,163.0,28861.44,15.8
1999,Montana,0.8909999999999999,1619.2,318.4,236.8,5.3,4.1,70.6,5.15,166.6,30469.84,15.4
2000,Montana,0.903,1657.0,329.8,311.1,4.8,4.0,70.2,5.15,172.2,32154.82,15.0
2001,Montana,0.9059999999999999,1738.5,440.7,352.0,4.6,4.0,68.3,5.15,177.1,32921.92,15.4
2002,Montana,0.91,1810.6,423.0,351.2,4.6,3.9,69.4,5.15,179.9,33252.09,14.9
2003,Montana,0.917,1907.5,500.2,365.0,4.7,3.8,71.5,5.15,184.0,34064.95,14.3
2004,Montana,0.9259999999999999,1954.8,407.3,293.8,4.5,3.7,72.4,5.15,188.9,35648.55,14.3
2005,Montana,0.935,2012.0,394.7,281.8,4.1,3.6,70.4,5.15,195.3,36952.94,13.5
2006,Montana,0.946,2186.1,396.2,377.3,3.3,3.7,69.5,5.15,201.6,38651.41,12.5
2007,Montana,0.9570000000000001,2361.0,416.8,379.8,3.4,3.6,67.3,5.15,207.342,40405.48,11.6
2008,Montana,0.968,2549.7,458.1,311.4,4.7,3.5,70.3,5.85,215.303,41334.97,11.6
2009,Montana,0.975,2593.2,622.4,287.0,7.1,3.5,70.7,6.55,214.537,40711.61,11.3
2010,Montana,0.991,2616.4,851.1,275.8,7.2,3.6,68.1,7.25,218.05599999999998,41673.83,11.3
2011,Montana,0.998,2625.1,789.0,276.1,6.6,3.6,68.4,7.25,224.93900000000002,42979.61,11.5
2012,Montana,1.004,2529.5,494.8,278.8,5.8,3.4,67.8,7.25,229.59400000000002,44321.67,11.9
2013,Montana,1.014,2587.8,463.2,288.1,5.4,3.3,67.4,7.25,232.957,44888.16,11.6
2014,Montana,1.023,2689.9,454.8,328.5,4.7,3.2,66.9,7.9,236.736,46481.52,12.0
1984,Nebraska,1.5730000000000002,1321.6,399.4,225.8,4.5,4.9778,69.3,3.35,103.9,16135.07,20.3
1985,Nebraska,1.574,1440.3,433.0,237.9,5.1,4.9222,68.5,3.35,107.6,16822.51,19.1
1986,Nebraska,1.575,1490.2,470.2,262.6,4.8,4.8667,68.3,3.35,109.6,17321.82,17.2
1987,Nebraska,1.5759999999999998,1582.8,509.4,251.2,4.2,4.8111,66.8,3.35,113.6,18426.51,16.2
1988,Nebraska,1.577,1639.7,519.6,273.2,3.5,4.7556,66.6,3.35,118.3,19334.04,15.2
1989,Nebraska,1.578,1820.9,581.6,279.5,2.9,4.7,67.2,3.35,124.0,20099.55,13.8
1990,Nebraska,1.578,1981.1,629.7,330.0,2.4,4.7,67.3,3.35,130.7,21027.98,13.4
1991,Nebraska,1.591,2163.7,730.5,334.6,2.7,4.6429,67.5,3.8,136.2,21811.6,12.8
1992,Nebraska,1.604,2273.0,479.9,348.6,2.8,4.5857,68.4,4.25,140.3,22935.42,12.3
1993,Nebraska,1.617,2388.7,504.5,377.8,2.8,4.5286,67.7,4.25,144.5,23132.67,11.9
1994,Nebraska,1.63,2562.9,551.5,389.5,2.6,4.4714,68.0,4.25,148.2,23753.53,11.3
1995,Nebraska,1.643,2730.1,597.8,382.0,2.6,4.4143,67.1,4.25,152.4,24705.66,11.0
1996,Nebraska,1.6569999999999998,2857.6,595.6,434.7,2.7,4.3571,66.8,4.25,156.9,25913.9,11.1
1997,Nebraska,1.67,2885.7,593.5,438.4,2.4,4.3,66.7,4.75,160.5,27426.0,11.0
1998,Nebraska,1.6840000000000002,2998.6,584.6,451.4,2.5,4.2,69.9,5.15,163.0,28861.44,10.7
1999,Nebraska,1.6969999999999998,3164.9,589.4,430.2,2.7,4.1,70.9,5.15,166.6,30469.84,10.8
2000,Nebraska,1.713,3299.5,656.3,327.6,2.8,4.0,70.2,5.15,172.2,32154.82,10.7
2001,Nebraska,1.7180000000000002,3579.6,862.7,303.1,3.1,4.0,70.1,5.15,177.1,32921.92,10.2
2002,Nebraska,1.725,3824.0,804.8,314.2,3.7,3.9,68.5,5.15,179.9,33252.09,9.8
2003,Nebraska,1.734,3921.5,1120.1,293.8,3.9,3.8,69.5,5.15,184.0,34064.95,9.9
2004,Nebraska,1.742,4068.4,975.0,308.6,3.9,3.7,71.2,5.15,188.9,35648.55,10.0
2005,Nebraska,1.7519999999999998,4166.1,986.7,287.3,3.8,3.6,70.2,5.15,195.3,36952.94,9.6
2006,Nebraska,1.76,4373.9,939.4,293.9,3.0,3.7,67.6,5.15,201.6,38651.41,9.2
2007,Nebraska,1.77,4757.3,1020.0,311.3,2.9,3.6,68.2,5.15,207.342,40405.48,9.1
2008,Nebraska,1.7819999999999998,5130.7,1055.8,312.3,3.2,3.5,69.6,5.85,215.303,41334.97,8.9
2009,Nebraska,1.797,5524.6,1139.7,289.4,4.7,3.5,70.2,6.55,214.537,40711.61,8.8
2010,Nebraska,1.83,5693.3,1407.3,278.3,4.7,3.6,70.4,7.25,218.05599999999998,41673.83,9.1
2011,Nebraska,1.841,5762.4,1350.5,253.6,4.4,3.6,68.9,7.25,224.93900000000002,42979.61,9.7
2012,Nebraska,1.854,5929.4,1155.2,258.8,3.9,3.4,69.3,7.25,229.59400000000002,44321.67,10.0
2013,Nebraska,1.8659999999999999,6090.6,1196.1,264.8,3.7,3.3,68.2,7.25,232.957,44888.16,10.4
2014,Nebraska,1.88,6243.0,1207.9,276.2,3.3,3.2,66.7,7.25,236.736,46481.52,10.6
1984,Nevada,0.9420000000000001,563.9,338.4,628.5,7.7,4.9778,58.9,3.35,103.9,16135.07,15.7
1985,Nevada,0.981,615.9,363.7,667.1,7.5,4.9222,57.0,3.35,107.6,16822.51,16.4
1986,Nevada,1.022,758.0,412.8,718.9,6.3,4.8667,54.5,3.35,109.6,17321.82,17.1
1987,Nevada,1.064,824.3,431.5,695.7,6.2,4.8111,54.1,3.35,113.6,18426.51,16.8
1988,Nevada,1.1079999999999999,935.0,466.9,780.7,5.2,4.7556,54.3,3.35,118.3,19334.04,16.2
1989,Nevada,1.1540000000000001,1011.8,541.3,625.3,4.7,4.7,54.3,3.35,124.0,20099.55,16.8
1990,Nevada,1.202,1252.7,689.3,600.9,4.7,4.7,55.8,3.35,130.7,21027.98,17.1
1991,Nevada,1.265,1558.6,1016.7,677.0,5.9,4.6429,55.8,3.8,136.2,21811.6,16.9
1992,Nevada,1.33,1645.3,431.0,696.8,6.8,4.5857,55.1,4.25,140.3,22935.42,17.6
1993,Nevada,1.4,1667.4,498.5,875.2,6.9,4.5286,55.8,4.25,144.5,23132.67,17.5
1994,Nevada,1.473,1761.8,479.1,1001.9,6.2,4.4714,55.8,4.25,148.2,23753.53,17.0
1995,Nevada,1.55,1847.2,582.6,945.2,5.6,4.4143,58.6,4.25,152.4,24705.66,16.0
1996,Nevada,1.631,2080.3,595.2,811.3,5.1,4.3571,61.1,4.25,156.9,25913.9,15.8
1997,Nevada,1.716,2438.4,640.9,798.7,4.4,4.3,61.2,4.75,160.5,27426.0,14.9
1998,Nevada,1.805,2607.1,493.5,643.6,4.2,4.2,61.4,5.15,163.0,28861.44,13.8
1999,Nevada,1.899,2986.7,692.0,569.9,4.0,4.1,63.7,5.15,166.6,30469.84,12.9
2000,Nevada,2.0180000000000002,3070.8,693.4,524.2,4.1,4.0,64.0,5.15,172.2,32154.82,12.8
2001,Nevada,2.095,3480.4,806.0,589.2,5.2,4.0,64.6,5.15,177.1,32921.92,12.9
2002,Nevada,2.166,3755.8,999.3,639.3,5.7,3.9,65.3,5.15,179.9,33252.09,13.0
2003,Nevada,2.237,3941.0,1107.4,616.0,5.3,3.8,64.8,5.15,184.0,34064.95,13.6
2004,Nevada,2.329,4251.5,1149.4,616.4,4.4,3.7,65.7,5.15,188.9,35648.55,13.7
2005,Nevada,2.4090000000000003,4591.3,1047.2,607.5,4.1,3.6,63.4,5.15,195.3,36952.94,13.3
2006,Nevada,2.4930000000000003,5240.4,1015.4,748.8,4.0,3.7,65.7,5.15,201.6,38651.41,12.6
2007,Nevada,2.568,5777.5,1120.4,754.9,4.6,3.6,63.3,6.15,207.342,40405.48,13.1
2008,Nevada,2.616,6361.3,1267.8,729.7,6.9,3.5,63.6,6.33,215.303,41334.97,14.0
2009,Nevada,2.6430000000000002,5954.0,1868.6,705.2,11.7,3.5,62.4,6.55,214.537,40711.61,15.8
2010,Nevada,2.702,5667.0,3061.3,663.0,13.8,3.6,59.7,7.25,218.05599999999998,41673.83,17.2
2011,Nevada,2.713,5678.9,2716.4,568.1,13.3,3.6,56.2,7.25,224.93900000000002,42979.61,18.9
2012,Nevada,2.745,5463.0,2299.6,608.6,11.6,3.4,55.7,7.25,229.59400000000002,44321.67,19.6
2013,Nevada,2.7769999999999997,5476.3,1889.0,605.0,10.0,3.3,56.0,7.25,232.957,44888.16,19.9
2014,Nevada,2.819,5736.6,1932.4,635.7,8.2,3.2,56.0,7.25,236.736,46481.52,20.5
1984,New Hampshire,0.992,592.3,263.6,133.9,4.2,4.9778,67.1,3.35,103.9,16135.07,13.9
1985,New Hampshire,1.011,616.0,275.3,140.8,3.7,4.9222,65.5,3.35,107.6,16822.51,11.8
1986,New Hampshire,1.03,735.7,314.3,139.5,2.6,4.8667,64.8,3.35,109.6,17321.82,10.3
1987,New Hampshire,1.0490000000000002,869.2,328.5,149.6,2.2,4.8111,66.4,3.35,113.6,18426.51,9.6
1988,New Hampshire,1.069,982.9,325.5,147.9,2.4,4.7556,67.9,3.55,118.3,19334.04,9.3
1989,New Hampshire,1.089,1134.8,411.6,168.5,3.3,4.7,67.0,3.55,124.0,20099.55,10.3
1990,New Hampshire,1.109,1237.3,504.3,131.5,5.3,4.7,65.0,3.55,130.7,21027.98,11.4
1991,New Hampshire,1.121,1273.9,640.2,119.3,6.8,4.6429,66.8,3.85,136.2,21811.6,12.2
1992,New Hampshire,1.133,1324.4,406.3,125.7,7.3,4.5857,66.6,4.25,140.3,22935.42,12.5
1993,New Hampshire,1.146,1398.6,426.3,137.8,6.1,4.5286,65.4,4.25,144.5,23132.67,12.7
1994,New Hampshire,1.158,1436.4,410.0,116.8,4.5,4.4714,65.1,4.25,148.2,23753.53,12.3
1995,New Hampshire,1.171,1549.0,448.4,114.5,3.8,4.4143,66.0,4.25,152.4,24705.66,11.9
1996,New Hampshire,1.1840000000000002,1647.7,450.0,118.2,3.8,4.3571,65.0,4.25,156.9,25913.9,11.2
1997,New Hampshire,1.196,1787.8,427.3,113.2,3.4,4.3,66.8,4.75,160.5,27426.0,10.4
1998,New Hampshire,1.209,1824.1,445.1,107.2,2.8,4.2,69.6,5.15,163.0,28861.44,9.6
1999,New Hampshire,1.2229999999999999,1868.7,456.7,96.5,2.7,4.1,70.2,5.15,166.6,30469.84,9.1
2000,New Hampshire,1.24,2082.9,476.7,175.4,2.7,4.0,69.2,5.15,172.2,32154.82,8.4
2001,New Hampshire,1.2570000000000001,2250.6,526.8,170.2,3.4,4.0,68.4,5.15,177.1,32921.92,7.7
2002,New Hampshire,1.271,2464.1,631.4,161.3,4.5,3.9,69.5,5.15,179.9,33252.09,7.3
2003,New Hampshire,1.2819999999999998,2643.6,726.3,150.3,4.5,3.8,74.4,5.15,184.0,34064.95,7.8
2004,New Hampshire,1.2930000000000001,2782.3,732.6,169.5,3.8,3.7,73.3,5.15,188.9,35648.55,7.6
2005,New Hampshire,1.301,2924.3,708.9,134.8,3.6,3.6,74.0,5.15,195.3,36952.94,7.7
2006,New Hampshire,1.3119999999999998,3170.9,677.2,135.8,3.5,3.7,74.2,5.15,201.6,38651.41,7.6
2007,New Hampshire,1.317,3295.2,749.4,144.1,3.5,3.6,73.8,5.15,207.342,40405.48,8.1
2008,New Hampshire,1.3219999999999998,3455.3,799.7,156.1,3.7,3.5,75.0,6.5,215.303,41334.97,8.3
2009,New Hampshire,1.325,3522.9,935.4,160.4,6.1,3.5,76.0,7.25,214.537,40711.61,8.8
2010,New Hampshire,1.317,3614.4,1176.0,167.4,6.1,3.6,74.9,7.25,218.05599999999998,41673.83,9.2
2011,New Hampshire,1.32,3811.9,1045.9,217.3,5.5,3.6,74.1,7.25,224.93900000000002,42979.61,10.1
2012,New Hampshire,1.325,3912.3,1464.7,215.0,5.4,3.4,74.8,7.25,229.59400000000002,44321.67,10.2
2013,New Hampshire,1.327,3779.4,1407.3,223.2,5.3,3.3,74.1,7.25,232.957,44888.16,10.4
2014,New Hampshire,1.334,3857.5,1044.0,197.7,4.3,3.2,72.2,7.25,236.736,46481.52,10.8
1984,New Jersey,7.5089999999999995,5932.1,3161.9,527.7,6.3,4.9778,63.4,3.35,103.9,16135.07,16.5
1985,New Jersey,7.545,6439.2,3441.4,544.5,5.6,4.9222,62.3,3.35,107.6,16822.51,15.1
1986,New Jersey,7.582000000000001,7097.1,3727.3,572.5,5.0,4.8667,63.3,3.35,109.6,17321.82,13.3
1987,New Jersey,7.619,7806.7,3941.7,541.0,4.0,4.8111,64.0,3.35,113.6,18426.51,12.7
1988,New Jersey,7.656000000000001,8480.5,4138.0,582.8,3.8,4.7556,64.8,3.35,118.3,19334.04,12.6
1989,New Jersey,7.693,9447.0,4729.5,609.0,4.1,4.7,65.7,3.35,124.0,20099.55,12.6
1990,New Jersey,7.73,10185.0,5308.1,647.6,5.1,4.7,65.0,3.35,130.7,21027.98,13.2
1991,New Jersey,7.796,10708.6,6425.9,634.8,6.8,4.6429,64.8,3.8,136.2,21811.6,14.5
1992,New Jersey,7.862,11818.1,4717.3,625.8,8.5,4.5857,64.6,4.25,140.3,22935.42,15.3
1993,New Jersey,7.928999999999999,12858.9,4680.7,626.9,7.8,4.5286,64.5,4.25,144.5,23132.67,15.9
1994,New Jersey,7.997000000000001,13727.0,4219.3,614.2,6.8,4.4714,64.1,5.05,148.2,23753.53,16.3
1995,New Jersey,8.065,14408.5,5185.9,599.8,6.4,4.4143,64.9,5.05,152.4,24705.66,16.2
1996,New Jersey,8.134,14798.9,5033.2,531.5,6.1,4.3571,64.6,5.05,156.9,25913.9,15.8
1997,New Jersey,8.203,15254.2,4783.6,492.6,5.3,4.3,63.1,5.05,160.5,27426.0,15.1
1998,New Jersey,8.273,16408.2,4403.7,440.2,4.6,4.2,63.1,5.15,163.0,28861.44,14.6
1999,New Jersey,8.343,17102.9,4389.3,411.9,4.4,4.1,64.5,5.15,166.6,30469.84,14.4
2000,New Jersey,8.431000000000001,19036.5,4174.7,383.8,3.7,4.0,66.2,5.15,172.2,32154.82,14.0
2001,New Jersey,8.488999999999999,20236.4,4847.9,388.8,4.2,4.0,66.5,5.15,177.1,32921.92,13.7
2002,New Jersey,8.544,20799.0,5827.0,376.1,5.8,3.9,66.9,5.15,179.9,33252.09,13.3
2003,New Jersey,8.583,23324.7,6506.3,364.3,5.8,3.8,66.9,5.15,184.0,34064.95,13.1
2004,New Jersey,8.612,24999.8,5619.2,356.3,4.9,3.7,68.8,5.15,188.9,35648.55,12.7
2005,New Jersey,8.622,26987.9,5367.0,355.3,4.4,3.6,70.1,5.15,195.3,36952.94,12.8
2006,New Jersey,8.624,29640.0,5981.1,350.2,4.6,3.7,69.0,6.15,201.6,38651.41,13.1
2007,New Jersey,8.636000000000001,30017.4,6094.7,328.6,4.2,3.6,68.3,7.15,207.342,40405.48,13.1
2008,New Jersey,8.663,30924.4,6618.8,326.5,5.4,3.5,67.3,7.15,215.303,41334.97,13.4
2009,New Jersey,8.708,32055.4,8256.1,311.4,9.0,3.5,65.9,7.15,214.537,40711.61,13.9
2010,New Jersey,8.799,32229.9,12667.9,307.5,9.7,3.6,66.5,7.25,218.05599999999998,41673.83,14.1
2011,New Jersey,8.829,31019.2,12226.5,307.9,9.4,3.6,66.4,7.25,224.93900000000002,42979.61,14.6
2012,New Jersey,8.846,32203.1,11130.0,290.1,9.4,3.4,66.6,7.25,229.59400000000002,44321.67,15.6
2013,New Jersey,8.857999999999999,33118.2,12025.3,288.9,8.4,3.3,64.9,7.25,232.957,44888.16,16.2
2014,New Jersey,8.867,34606.2,10696.1,260.9,6.7,3.2,65.2,8.25,236.736,46481.52,16.7
1984,New Mexico,1.3840000000000001,1350.3,334.9,688.1,7.7,4.9778,68.0,3.35,103.9,16135.07,26.9
1985,New Mexico,1.405,1458.8,347.2,703.9,8.6,4.9222,68.2,3.35,107.6,16822.51,26.2
1986,New Mexico,1.426,1596.9,387.1,725.6,9.2,4.8667,67.8,3.35,109.6,17321.82,26.1
1987,New Mexico,1.4480000000000002,1526.5,435.0,628.5,8.9,4.8111,67.2,3.35,113.6,18426.51,25.7
1988,New Mexico,1.47,1591.0,466.0,658.1,7.6,4.7556,65.4,3.35,118.3,19334.04,25.5
1989,New Mexico,1.492,1754.0,495.8,703.9,6.7,4.7,65.5,3.35,124.0,20099.55,25.9
1990,New Mexico,1.515,1886.8,554.5,780.2,6.7,4.7,68.6,3.35,130.7,21027.98,26.0
1991,New Mexico,1.5430000000000001,2062.8,668.4,834.8,7.2,4.6429,69.5,3.8,136.2,21811.6,24.7
1992,New Mexico,1.5719999999999998,2173.7,511.7,934.9,7.3,4.5857,70.5,4.25,140.3,22935.42,24.9
1993,New Mexico,1.601,2312.6,533.7,929.7,7.3,4.5286,69.1,4.25,144.5,23132.67,25.6
1994,New Mexico,1.63,2338.4,528.6,889.2,6.5,4.4714,66.8,4.25,148.2,23753.53,25.6
1995,New Mexico,1.66,2592.7,597.1,819.2,6.7,4.4143,67.0,4.25,152.4,24705.66,24.9
1996,New Mexico,1.6909999999999998,2632.4,565.8,840.6,7.5,4.3571,67.1,4.25,156.9,25913.9,24.4
1997,New Mexico,1.722,2997.6,586.5,853.3,6.4,4.3,69.6,4.75,160.5,27426.0,23.4
1998,New Mexico,1.754,3140.5,578.6,961.4,6.2,4.2,71.3,5.15,163.0,28861.44,21.7
1999,New Mexico,1.786,3365.8,588.0,834.6,5.6,4.1,72.6,5.15,166.6,30469.84,19.9
2000,New Mexico,1.821,3726.9,594.0,757.9,5.0,4.0,73.7,5.15,172.2,32154.82,19.1
2001,New Mexico,1.829,3888.9,768.8,780.4,5.0,4.0,70.8,5.15,177.1,32921.92,18.6
2002,New Mexico,1.85,4210.4,717.7,740.7,5.5,3.9,70.0,5.15,179.9,33252.09,17.7
2003,New Mexico,1.87,4412.4,921.3,667.3,5.9,3.8,70.3,5.15,184.0,34064.95,17.3
2004,New Mexico,1.892,4691.5,833.8,687.4,5.6,3.7,71.5,5.15,188.9,35648.55,16.9
2005,New Mexico,1.9169999999999998,4915.6,846.8,646.3,5.2,3.6,71.4,5.15,195.3,36952.94,15.9
2006,New Mexico,1.943,5268.2,757.3,654.7,4.2,3.7,72.0,5.15,201.6,38651.41,15.8
2007,New Mexico,1.969,5809.6,655.0,675.7,3.6,3.6,71.5,5.15,207.342,40405.48,15.7
2008,New Mexico,1.9869999999999999,6278.3,746.6,653.5,4.3,3.5,70.4,6.5,215.303,41334.97,15.2
2009,New Mexico,2.01,6694.9,917.6,632.4,7.1,3.5,69.1,7.5,214.537,40711.61,15.1
2010,New Mexico,2.065,6567.3,1355.4,588.0,7.8,3.6,68.6,7.5,218.05599999999998,41673.83,16.2
2011,New Mexico,2.081,6382.2,1365.1,572.7,7.2,3.6,69.1,7.5,224.93900000000002,42979.61,15.7
2012,New Mexico,2.088,6331.2,1132.4,559.6,7.0,3.4,66.8,7.5,229.59400000000002,44321.67,16.0
2013,New Mexico,2.093,6221.7,935.4,622.5,6.9,3.3,67.3,7.5,232.957,44888.16,16.6
2014,New Mexico,2.09,6331.3,840.1,597.7,6.6,3.2,66.3,7.5,236.736,46481.52,15.9
1984,New York,17.73,15961.6,12407.8,914.3,7.2,4.9778,51.1,3.35,103.9,16135.07,22.2
1985,New York,17.773,17249.9,13845.7,929.9,6.6,4.9222,50.3,3.35,107.6,16822.51,21.5
1986,New York,17.816,18802.3,13628.1,985.9,6.2,4.8667,51.3,3.35,109.6,17321.82,20.5
1987,New York,17.86,20664.6,14795.1,1008.1,4.8,4.8111,52.0,3.35,113.6,18426.51,19.6
1988,New York,17.903,22144.3,16198.6,1097.3,4.2,4.7556,50.7,3.35,118.3,19334.04,19.2
1989,New York,17.947,24172.0,18178.0,1131.2,4.9,4.7,52.3,3.35,124.0,20099.55,19.4
1990,New York,17.991,25834.5,20570.1,1180.9,5.3,4.7,53.3,3.35,130.7,21027.98,20.0
1991,New York,18.087,28215.1,23950.1,1163.9,7.3,4.6429,52.6,3.8,136.2,21811.6,20.9
1992,New York,18.184,28820.9,16024.8,1122.1,8.7,4.5857,53.3,4.25,140.3,22935.42,21.8
1993,New York,18.281,30686.5,17374.8,1073.5,7.9,4.5286,52.8,4.25,144.5,23132.67,22.3
1994,New York,18.379,32114.0,16401.1,965.6,6.9,4.4714,52.5,4.25,148.2,23753.53,22.7
1995,New York,18.477,33875.6,17480.3,841.9,6.3,4.4143,52.7,4.25,152.4,24705.66,22.9
1996,New York,18.576,33577.5,16448.3,727.0,6.2,4.3571,52.7,4.25,156.9,25913.9,22.8
1997,New York,18.675,34695.5,16024.5,688.6,6.4,4.3,52.6,4.75,160.5,27426.0,22.5
1998,New York,18.775,36612.0,14310.5,637.8,5.6,4.2,52.8,5.15,163.0,28861.44,21.9
1999,New York,18.875999999999998,38434.5,14463.2,588.8,5.2,4.1,52.8,5.15,166.6,30469.84,21.6
2000,New York,18.998,41399.4,13443.1,553.9,4.5,4.0,53.4,5.15,172.2,32154.82,20.9
2001,New York,19.089000000000002,45361.9,15012.5,513.6,4.9,4.0,53.9,5.15,177.1,32921.92,20.3
2002,New York,19.162,48477.3,17176.9,496.6,6.2,3.9,54.8,5.15,179.9,33252.09,19.7
2003,New York,19.230999999999998,50247.6,18498.3,465.8,6.4,3.8,54.3,5.15,184.0,34064.95,19.6
2004,New York,19.298,52456.3,17736.3,440.4,5.8,3.7,54.8,5.15,188.9,35648.55,19.0
2005,New York,19.331,54789.7,17451.2,444.4,5.0,3.6,55.9,6.0,195.3,36952.94,19.2
2006,New York,19.357,58262.7,17440.4,435.2,4.5,3.7,55.7,6.75,201.6,38651.41,19.3
2007,New York,19.423,61764.6,18835.9,414.4,4.4,3.6,55.9,7.15,207.342,40405.48,18.8
2008,New York,19.468,65617.6,19375.6,397.9,5.4,3.5,55.0,7.15,215.303,41334.97,18.4
2009,New York,19.542,69903.9,21776.8,384.4,8.4,3.5,54.4,7.15,214.537,40711.61,18.1
2010,New York,19.4,71848.3,27933.7,394.4,8.7,3.6,54.5,7.25,218.05599999999998,41673.83,17.7
2011,New York,19.5,72394.3,27388.4,397.2,8.3,3.6,53.6,7.25,224.93900000000002,42979.61,17.2
2012,New York,19.574,72675.6,25388.1,406.3,8.6,3.4,53.6,7.25,229.59400000000002,44321.67,17.6
2013,New York,19.627,75318.6,23268.6,393.8,7.8,3.3,53.0,7.25,232.957,44888.16,18.0
2014,New York,19.653,78875.8,21014.7,384.7,6.3,3.2,52.9,8.0,236.736,46481.52,17.7
1984,North Carolina,6.17,4243.6,1393.3,403.6,6.6,4.9778,68.8,3.35,103.9,16135.07,21.3
1985,North Carolina,6.244,4831.5,1503.2,420.9,5.7,4.9222,68.0,3.35,107.6,16822.51,19.7
1986,North Carolina,6.319,5375.4,1611.8,475.9,5.3,4.8667,68.2,3.35,109.6,17321.82,18.9
1987,North Carolina,6.395,5824.3,1705.3,484.0,4.5,4.8111,68.4,3.35,113.6,18426.51,18.4
1988,North Carolina,6.472,6251.0,1851.9,501.9,3.7,4.7556,68.3,3.35,118.3,19334.04,18.0
1989,North Carolina,6.55,6932.6,2151.1,546.4,3.6,4.7,69.4,3.35,124.0,20099.55,17.9
1990,North Carolina,6.629,7629.2,2444.9,623.5,4.1,4.7,69.0,3.35,130.7,21027.98,17.8
1991,North Carolina,6.7589999999999995,8054.7,3210.7,658.4,5.9,4.6429,69.3,3.8,136.2,21811.6,17.9
1992,North Carolina,6.891,8378.0,1957.9,681.0,6.3,4.5857,68.6,4.25,140.3,22935.42,17.7
1993,North Carolina,7.026,8682.9,2084.9,679.3,5.1,4.5286,68.8,4.25,144.5,23132.67,16.8
1994,North Carolina,7.164,9138.5,2179.1,655.0,4.4,4.4714,68.7,4.25,148.2,23753.53,16.1
1995,North Carolina,7.305,9873.0,2533.4,646.4,4.4,4.4143,70.1,4.25,152.4,24705.66,14.9
1996,North Carolina,7.4479999999999995,10355.0,2388.4,588.1,4.4,4.3571,70.4,4.25,156.9,25913.9,14.6
