year,state,population_million,education_million,welfare_million,crime_rate,unemployment_rate,divorce_rate_per_1000_people,homeownership_rate,minimum_wage_effective,CPI_Average,inflation_rate,avg_wage_index,poverty_rate
2014,Florida,19.854,38925.3,8428.2,458.9,6.4,3.2,64.9,7.93,236.736,1.6,46481.52,20.0
2015,Florida,20.219,40270.8,6452.1,462.5,5.5,3.1,64.8,8.05,237.017,0.1,48098.63,
2016,Florida,20.627,42068.5,6075.8,429.4,4.9,3.01,64.3,8.05,240.007,1.3,48642.15,
2017,Florida,20.976999999999997,43360.2,6090.1,408.1,4.2,2.9,64.1,8.1,245.12,2.1,50321.89,
2018,Florida,21.255,45408.2,6461.8,385.9,3.6,2.9,65.5,8.25,251.107,2.4,52145.8,
2019,Florida,21.491999999999997,46675.0,5716.2,378.4,3.3,2.7,66.0,8.56,255.657,1.8,54099.99,
2020,Florida,21.733,47771.6,5413.5,,7.7,,68.7,8.56,258.66,1.2,54640.99,
2021,Florida,21.976999999999997,48968.2,5191.4,,,,,,,4.8,,
2022,Florida,22.224,50495.1,5102.4,,,,,,,,,
2023,Florida,22.474,52425.7,5172.7,,,,,,,,,
2024,Florida,22.726,54759.7,5406.8,,,,,,,,,
2025,Florida,22.980999999999998,57454.0,5792.0,,,,,,,,,
2026,Florida,23.239,60440.2,6301.2,,,,,,,,,
1970,Georgia,4.588,1043.8,124.3,304.5,,3.5,,1.3,38.8,5.8,6186.24,
1971,Georgia,4.669,1143.4,185.8,340.9,,3.75,,1.3,40.5,4.3,6497.08,
1972,Georgia,4.751,1209.8,271.0,377.6,,4.0,,1.6,41.8,3.3,7133.8,
1973,Georgia,4.835,1272.5,250.8,412.4,,4.25,,1.6,44.4,6.2,7580.16,
1974,Georgia,4.92,1419.9,220.8,442.2,,4.5,,1.6,49.3,11.1,8030.76,
1975,Georgia,5.006,1637.6,349.1,459.0,,4.75,,1.6,53.8,9.1,8630.92,
1976,Georgia,5.095,1763.0,546.1,423.1,8.2,5.0,,2.2,56.9,5.7,9226.48,21.1
1977,Georgia,5.184,1932.3,777.5,439.8,6.9,5.1,,2.2,60.6,6.5,9779.44,20.7
1978,Georgia,5.276,1990.9,765.8,482.8,5.7,5.2,,2.2,65.2,7.6,10556.03,19.6
1979,Georgia,5.369,2403.9,817.7,558.7,5.1,5.3,,2.9,72.6,11.3,11479.46,19.6
1980,Georgia,5.462999999999999,2625.3,976.9,555.3,6.3,5.2,,3.1,82.4,13.5,12513.46,20.4
1981,Georgia,5.557,2923.9,1318.4,548.2,6.5,5.1444,,3.35,90.9,10.3,13773.1,21.4
1982,Georgia,5.653,3114.1,1418.8,478.2,7.8,5.0889,,3.35,96.5,6.1,14531.34,22.2
1983,Georgia,5.75,3344.3,1596.7,456.7,7.6,5.0333,,3.35,99.6,3.2,15239.24,23.2
1984,Georgia,5.849,3599.7,1511.6,478.6,6.1,4.9778,63.6,3.35,103.9,4.3,16135.07,23.0
1985,Georgia,5.949,4089.5,1462.8,507.2,6.3,4.9222,62.7,3.35,107.6,3.5,16822.51,21.7
1986,Georgia,6.051,4677.6,1636.1,587.6,5.9,4.8667,62.4,3.35,109.6,1.9,17321.82,20.2
1987,Georgia,6.155,5260.8,1968.9,576.5,5.6,4.8111,63.9,3.35,113.6,3.7,18426.51,19.4
1988,Georgia,6.261,5819.8,2152.6,665.3,5.6,4.7556,64.8,3.35,118.3,4.1,19334.04,18.5
1989,Georgia,6.369,6312.7,2425.3,735.8,5.4,4.7,64.7,3.35,124.0,4.8,20099.55,18.8
1990,Georgia,6.478,7046.3,2746.6,756.3,5.4,4.7,64.3,3.35,130.7,5.4,21027.98,19.4
1991,Georgia,6.632000000000001,7268.6,3483.1,738.2,5.3,4.6429,65.7,3.8,136.2,4.2,21811.6,19.9
1992,Georgia,6.789,7352.9,1954.7,733.2,6.6,4.5857,66.9,4.25,140.3,3.0,22935.42,19.5
1993,Georgia,6.949,8066.6,2038.0,723.1,5.7,4.5286,66.5,4.25,144.5,3.0,23132.67,18.9
1994,Georgia,7.114,8940.8,1885.3,667.7,5.1,4.4714,63.4,4.25,148.2,2.6,23753.53,17.7
1995,Georgia,7.282,10146.3,2139.5,657.1,4.8,4.4143,66.6,4.25,152.4,2.8,24705.66,16.9
1996,Georgia,7.455,11229.0,2072.7,638.7,4.6,4.3571,69.3,4.25,156.9,2.9,25913.9,15.9
1997,Georgia,7.631,11716.0,2295.2,606.6,4.5,4.3,70.9,4.75,160.5,2.3,27426.0,15.4
1998,Georgia,7.812,12390.4,2061.2,572.7,4.2,4.2,71.2,5.15,163.0,1.6,28861.44,15.6
1999,Georgia,7.997000000000001,13929.8,2119.2,533.9,3.8,4.1,71.3,5.15,166.6,2.2,30469.84,15.6
2000,Georgia,8.23,14865.7,2367.2,504.7,3.5,4.0,69.8,5.15,172.2,3.4,32154.82,14.9
2001,Georgia,8.42,16364.3,2880.5,495.7,4.1,4.0,70.1,5.15,177.1,2.8,32921.92,14.6
2002,Georgia,8.586,17480.9,2967.7,459.6,5.3,3.9,71.8,5.15,179.9,1.6,33252.09,15.1
2003,Georgia,8.735,18414.3,3998.8,454.5,5.1,3.8,71.4,5.15,184.0,2.3,34064.95,15.0
2004,Georgia,8.914,19408.0,2826.7,451.0,5.1,3.7,70.9,5.15,188.9,2.7,35648.55,14.5
2005,Georgia,9.097000000000001,20069.0,2744.1,445.9,5.7,3.6,67.9,5.15,195.3,3.4,36952.94,14.6
2006,Georgia,9.33,21439.3,3197.0,477.9,5.1,3.7,68.5,5.15,201.6,3.2,38651.41,14.5
2007,Georgia,9.533999999999999,23415.0,3318.5,491.5,4.9,3.6,67.6,5.15,207.342,2.9,40405.48,14.9
2008,Georgia,9.698,25877.3,3748.9,488.9,6.8,3.5,68.2,5.85,215.303,3.8,41334.97,15.4
2009,Georgia,9.829,26014.6,4606.3,428.0,10.4,3.5,67.4,6.55,214.537,-0.4,40711.61,16.5
2010,Georgia,9.712,25164.2,6374.2,402.3,10.7,3.6,67.1,7.25,218.05599999999998,1.6,41673.83,17.1
2011,Georgia,9.804,25537.3,5759.6,374.6,10.1,3.6,66.2,7.25,224.93900000000002,3.2,42979.61,17.8
2012,Georgia,9.904,26427.6,4926.8,380.0,9.0,3.4,64.3,7.25,229.59400000000002,2.1,44321.67,17.4
2013,Georgia,9.976,26131.3,4336.6,375.4,8.1,3.3,64.2,7.25,232.957,1.5,44888.16,16.8
2014,Georgia,10.071,26200.0,4207.9,385.8,7.1,3.2,62.9,7.25,236.736,1.6,46481.52,16.7
2015,Georgia,10.183,25745.7,3120.4,381.3,6.1,3.1,62.9,7.25,237.017,0.1,48098.63,
2016,Georgia,10.308,26942.9,3088.9,390.4,5.4,3.01,62.3,7.25,240.007,1.3,48642.15,
2017,Georgia,10.417,28254.8,2870.7,356.5,4.8,2.9,62.8,7.25,245.12,2.1,50321.89,
2018,Georgia,10.519,29660.6,2941.4,338.9,4.0,2.9,63.8,7.25,251.107,2.4,52145.8,
2019,Georgia,10.628,30069.4,3228.3,340.7,3.5,2.7,64.4,7.25,255.657,1.8,54099.99,
2020,Georgia,10.71,30436.5,3271.9,,6.5,,67.3,7.25,258.66,1.2,54640.99,
2021,Georgia,10.793,30915.4,3327.5,,,,,,,4.8,,
2022,Georgia,10.876,31676.1,3412.4,,,,,,,,,
2023,Georgia,10.96,32779.9,3532.8,,,,,,,,,
2024,Georgia,11.044,34230.5,3689.3,,,,,,,,,
2025,Georgia,11.13,35995.7,3878.2,,,,,,,,,
2026,Georgia,11.216,38018.9,4093.5,,,,,,,,,
1970,Hawaii,0.77,264.2,27.2,121.8,,3.5,,1.6,38.8,5.8,6186.24,
1971,Hawaii,0.787,290.6,47.9,231.9,,3.75,,1.6,40.5,4.3,6497.08,
1972,Hawaii,0.805,312.4,81.8,155.5,,4.0,,1.6,41.8,3.3,7133.8,
1973,Hawaii,0.8240000000000001,347.8,67.9,155.6,,4.25,,1.6,44.4,6.2,7580.16,
1974,Hawaii,0.843,331.6,70.5,208.0,,4.5,,1.6,49.3,11.1,8030.76,
1975,Hawaii,0.862,382.7,76.9,218.4,,4.75,,1.6,53.8,9.1,8630.92,
1976,Hawaii,0.8809999999999999,427.3,156.6,229.3,9.2,5.0,,2.4,56.9,5.7,9226.48,11.8
1977,Hawaii,0.902,486.1,325.2,224.8,7.7,5.1,,2.4,60.6,6.5,9779.44,12.8
1978,Hawaii,0.922,493.3,316.5,270.1,6.9,5.2,,2.4,65.2,7.6,10556.03,13.6
1979,Hawaii,0.943,509.9,291.1,289.7,5.7,5.3,,2.9,72.6,11.3,11479.46,15.0
1980,Hawaii,0.965,569.2,313.2,299.5,4.9,5.2,,3.1,82.4,13.5,12513.46,16.1
1981,Hawaii,0.978,612.9,394.5,247.6,5.2,5.1444,,3.35,90.9,10.3,13773.1,17.7
1982,Hawaii,0.992,655.5,415.5,255.7,6.1,5.0889,,3.35,96.5,6.1,14531.34,18.2
1983,Hawaii,1.006,723.6,437.0,252.1,5.9,5.0333,,3.35,99.6,3.2,15239.24,19.2
1984,Hawaii,1.02,721.5,416.4,231.9,5.4,4.9778,50.7,3.35,103.9,4.3,16135.07,19.1
1985,Hawaii,1.034,743.7,439.3,219.4,5.2,4.9222,51.0,3.35,107.6,3.5,16822.51,18.5
1986,Hawaii,1.048,819.4,424.3,245.2,4.7,4.8667,50.9,3.35,109.6,1.9,17321.82,17.3
1987,Hawaii,1.063,836.0,461.3,263.3,3.7,4.8111,50.7,3.35,113.6,3.7,18426.51,17.3
1988,Hawaii,1.078,900.9,454.0,257.1,3.1,4.7556,53.2,3.85,118.3,4.1,19334.04,17.3
1989,Hawaii,1.093,1007.7,502.7,270.1,2.5,4.7,54.7,3.85,124.0,4.8,20099.55,16.9
1990,Hawaii,1.1079999999999999,1135.4,637.0,280.9,2.6,4.7,55.5,3.85,130.7,5.4,21027.98,17.9
1991,Hawaii,1.1179999999999999,1304.5,709.7,241.8,2.8,4.6429,55.2,3.85,136.2,4.2,21811.6,18.0
1992,Hawaii,1.128,1381.7,616.5,258.4,4.1,4.5857,53.8,4.25,140.3,3.0,22935.42,18.0
1993,Hawaii,1.138,1473.3,828.4,261.2,4.4,4.5286,52.8,4.25,144.5,3.0,23132.67,18.7
1994,Hawaii,1.148,1522.3,844.3,262.2,5.2,4.4714,52.3,5.25,148.2,2.6,23753.53,20.4
1995,Hawaii,1.159,1676.3,972.4,295.6,5.5,4.4143,50.2,5.25,152.4,2.8,24705.66,22.0
1996,Hawaii,1.169,1573.4,956.7,280.6,5.9,4.3571,50.6,5.25,156.9,2.9,25913.9,23.2
1997,Hawaii,1.18,1578.3,842.8,277.9,5.9,4.3,50.2,5.25,160.5,2.3,27426.0,24.1
1998,Hawaii,1.19,1659.1,762.9,246.9,5.8,4.2,52.8,5.25,163.0,1.6,28861.44,23.3
1999,Hawaii,1.2009999999999998,1782.7,694.4,234.9,5.2,4.1,56.6,5.25,166.6,2.2,30469.84,22.5
2000,Hawaii,1.212,1856.0,771.6,243.8,4.2,4.0,55.2,5.25,172.2,3.4,32154.82,20.5
2001,Hawaii,1.218,2219.7,786.7,254.0,4.3,4.0,55.5,5.25,177.1,2.8,32921.92,18.4
2002,Hawaii,1.228,2286.7,844.8,262.9,4.0,3.9,57.9,5.75,179.9,1.6,33252.09,15.6
2003,Hawaii,1.239,2357.9,941.9,272.3,3.9,3.8,58.3,6.25,184.0,2.3,34064.95,14.3
2004,Hawaii,1.253,2515.3,755.3,254.6,3.3,3.7,60.6,6.25,188.9,2.7,35648.55,13.7
2005,Hawaii,1.266,2678.6,757.2,255.5,2.8,3.6,59.8,6.25,195.3,3.4,36952.94,12.9
2006,Hawaii,1.276,2944.2,756.8,280.7,2.5,3.7,59.9,6.75,201.6,3.2,38651.41,13.3
2007,Hawaii,1.2770000000000001,3271.6,789.3,276.1,2.7,3.6,60.1,7.25,207.342,2.9,40405.48,14.8
2008,Hawaii,1.287,3544.7,890.6,272.5,4.0,3.5,59.1,7.25,215.303,3.8,41334.97,15.5
2009,Hawaii,1.295,3591.0,1187.9,274.1,6.7,3.5,59.5,7.25,214.537,-0.4,40711.61,15.6
2010,Hawaii,1.364,3292.3,1446.1,264.3,6.8,3.6,56.1,7.25,218.05599999999998,1.6,41673.83,16.5
2011,Hawaii,1.38,3381.1,1263.6,251.4,6.8,3.6,55.4,7.25,224.93900000000002,3.2,42979.61,17.3
2012,Hawaii,1.395,3515.6,1167.7,243.0,5.9,3.4,57.2,7.25,229.59400000000002,2.1,44321.67,16.9
2013,Hawaii,1.409,3419.5,1050.3,254.4,4.8,3.3,57.3,7.25,232.957,1.5,44888.16,17.3
2014,Hawaii,1.415,3417.1,1124.2,236.7,4.2,3.2,58.4,7.25,236.736,1.6,46481.52,17.0
2015,Hawaii,1.423,3211.9,980.1,293.4,3.4,3.1,59.3,7.75,237.017,0.1,48098.63,
2016,Hawaii,1.429,3424.9,978.1,241.6,2.9,3.01,57.7,8.5,240.007,1.3,48642.15,
2017,Hawaii,1.426,3446.2,981.6,251.2,2.2,2.9,55.9,9.25,245.12,2.1,50321.89,
2018,Hawaii,1.423,3696.4,1031.5,255.0,2.4,2.9,59.5,10.1,251.107,2.4,52145.8,
2019,Hawaii,1.416,3826.9,1131.5,285.5,2.5,2.7,60.0,10.1,255.657,1.8,54099.99,
2020,Hawaii,1.4069999999999998,3919.6,1146.4,,11.6,,58.8,10.1,258.66,1.2,54640.99,
2021,Hawaii,1.3980000000000001,3996.8,1158.8,,,,,,,4.8,,
2022,Hawaii,1.39,4072.5,1173.4,,,,,,,,,
2023,Hawaii,1.381,4154.5,1193.0,,,,,,,,,
2024,Hawaii,1.3730000000000002,4248.4,1219.5,,,,,,,,,
2025,Hawaii,1.365,4359.2,1253.9,,,,,,,,,
2026,Hawaii,1.3559999999999999,4490.6,1297.1,,,,,,,,,
1970,Idaho,0.713,169.2,22.1,123.3,,3.5,,1.3,38.8,5.8,6186.24,
1971,Idaho,0.733,184.2,27.4,125.3,,3.75,,1.3,40.5,4.3,6497.08,
1972,Idaho,0.754,209.3,37.0,143.5,,4.0,,1.6,41.8,3.3,7133.8,
1973,Idaho,0.7759999999999999,211.5,36.1,164.2,,4.25,,1.6,44.4,6.2,7580.16,
1974,Idaho,0.7979999999999999,240.8,39.6,183.4,,4.5,,1.6,49.3,11.1,8030.76,
1975,Idaho,0.82,328.6,47.5,203.7,,4.75,,1.6,53.8,9.1,8630.92,
1976,Idaho,0.8440000000000001,342.4,70.7,226.7,5.6,5.0,,2.2,56.9,5.7,9226.48,18.9
1977,Idaho,0.868,378.5,123.5,236.9,5.9,5.1,,2.2,60.6,6.5,9779.44,16.9
1978,Idaho,0.892,411.6,129.2,236.4,5.5,5.2,,2.2,65.2,7.6,10556.03,17.5
1979,Idaho,0.9179999999999999,445.4,150.9,288.7,5.8,5.3,,2.9,72.6,11.3,11479.46,18.0
1980,Idaho,0.9440000000000001,489.8,184.4,313.4,7.6,5.2,,3.1,82.4,13.5,12513.46,18.2
1981,Idaho,0.95,560.1,199.0,283.3,7.6,5.1444,,3.35,90.9,10.3,13773.1,20.0
1982,Idaho,0.956,585.0,251.0,259.2,9.9,5.0889,,3.35,96.5,6.1,14531.34,20.8
1983,Idaho,0.9620000000000001,597.5,269.0,238.7,9.1,5.0333,,3.35,99.6,3.2,15239.24,21.2
1984,Idaho,0.9690000000000001,644.4,228.3,235.3,7.2,4.9778,69.7,3.35,103.9,4.3,16135.07,22.4
1985,Idaho,0.975,720.4,258.5,234.8,7.8,4.9222,71.0,3.35,107.6,3.5,16822.51,22.8
1986,Idaho,0.981,773.7,270.7,222.5,8.4,4.8667,69.8,3.35,109.6,1.9,17321.82,22.1
1987,Idaho,0.987,825.7,293.1,214.2,7.7,4.8111,71.6,3.35,113.6,3.7,18426.51,21.3
1988,Idaho,0.9940000000000001,831.4,313.8,234.7,6.2,4.7556,71.5,3.35,118.3,4.1,19334.04,21.0
1989,Idaho,1.0,909.6,345.2,254.6,5.5,4.7,70.2,3.35,124.0,4.8,20099.55,19.3
1990,Idaho,1.0070000000000001,1009.5,364.1,275.7,5.6,4.7,69.4,3.35,130.7,5.4,21027.98,18.7
1991,Idaho,1.032,1159.4,436.7,290.3,6.3,4.6429,68.4,3.8,136.2,4.2,21811.6,18.2
1992,Idaho,1.0590000000000002,1264.0,274.7,281.4,6.5,4.5857,70.3,4.25,140.3,3.0,22935.42,17.8
1993,Idaho,1.085,1296.4,301.6,281.8,6.1,4.5286,72.1,4.25,144.5,3.0,23132.67,17.0
1994,Idaho,1.113,1429.2,309.7,285.8,5.5,4.4714,70.7,4.25,148.2,2.6,23753.53,15.9
1995,Idaho,1.141,1673.2,381.1,322.0,5.5,4.4143,72.0,4.25,152.4,2.8,24705.66,15.1
1996,Idaho,1.17,1827.1,379.1,267.2,5.4,4.3571,71.4,4.25,156.9,2.9,25913.9,14.7
1997,Idaho,1.2,1872.3,389.8,256.8,5.2,4.3,72.3,4.75,160.5,2.3,27426.0,14.5
1998,Idaho,1.2309999999999999,1952.6,375.6,282.2,5.2,4.2,72.6,5.15,163.0,1.6,28861.44,14.2
1999,Idaho,1.262,2049.6,370.8,244.9,5.0,4.1,70.3,5.15,166.6,2.2,30469.84,13.6
2000,Idaho,1.3,2156.0,367.2,252.5,4.7,4.0,70.5,5.15,172.2,3.4,32154.82,13.0
2001,Idaho,1.321,2320.3,478.0,243.1,5.1,4.0,71.7,5.15,177.1,2.8,32921.92,12.3
2002,Idaho,1.3419999999999999,2451.4,513.5,254.6,5.6,3.9,73.0,5.15,179.9,1.6,33252.09,11.0
2003,Idaho,1.364,2529.1,608.1,245.9,5.6,3.8,74.4,5.15,184.0,2.3,34064.95,10.0
2004,Idaho,1.392,2670.9,544.4,247.4,4.9,3.7,73.7,5.15,188.9,2.7,35648.55,9.6
2005,Idaho,1.426,2817.7,471.0,256.8,4.0,3.6,74.2,5.15,195.3,3.4,36952.94,9.2
2006,Idaho,1.464,2917.7,463.0,250.0,3.4,3.7,75.1,5.15,201.6,3.2,38651.41,9.5
2007,Idaho,1.499,3011.1,491.3,256.2,3.1,3.6,74.5,5.15,207.342,2.9,40405.48,10.1
2008,Idaho,1.528,3212.9,574.5,241.5,5.0,3.5,75.0,5.85,215.303,3.8,41334.97,10.7
2009,Idaho,1.546,3348.9,812.0,246.2,8.7,3.5,75.5,6.55,214.537,-0.4,40711.61,11.2
2010,Idaho,1.571,3345.5,1111.5,220.5,8.8,3.6,72.4,7.25,218.05599999999998,1.6,41673.83,11.5
2011,Idaho,1.584,3179.2,993.4,202.2,8.2,3.6,72.4,7.25,224.93900000000002,3.2,42979.61,11.4
2012,Idaho,1.5959999999999999,3122.8,1088.9,209.8,7.4,3.4,73.0,7.25,229.59400000000002,2.1,44321.67,11.2
2013,Idaho,1.6119999999999999,3207.3,983.7,215.2,6.8,3.3,71.5,7.25,232.957,1.5,44888.16,10.7
2014,Idaho,1.632,3238.1,1102.9,210.4,4.4,3.2,69.6,7.25,236.736,1.6,46481.52,10.5
2015,Idaho,1.653,3277.8,842.9,217.4,3.9,3.1,70.0,7.25,237.017,0.1,48098.63,
2016,Idaho,1.6840000000000002,3415.5,638.8,230.7,3.7,3.01,70.5,7.25,240.007,1.3,48642.15,
2017,Idaho,1.72,3628.4,670.1,239.2,3.2,2.9,69.9,7.25,245.12,2.1,50321.89,
2018,Idaho,1.7519999999999998,3910.3,679.5,239.7,2.8,2.9,69.2,7.25,251.107,2.4,52145.8,
2019,Idaho,1.7890000000000001,3950.7,718.5,223.8,2.8,2.7,70.6,7.25,255.657,1.8,54099.99,
2020,Idaho,1.827,3997.8,716.0,,5.4,,71.5,7.25,258.66,1.2,54640.99,
2021,Idaho,1.8659999999999999,4066.9,721.8,,,,,,,4.8,,
2022,Idaho,1.905,4182.0,737.3,,,,,,,,,
2023,Idaho,1.945,4351.0,764.6,,,,,,,,,
2024,Idaho,1.9869999999999999,4572.6,803.6,,,,,,,,,
2025,Idaho,2.029,4840.1,852.9,,,,,,,,,
2026,Idaho,2.0709999999999997,5143.0,910.2,,,,,,,,,
1970,Illinois,11.11,2875.3,431.6,467.9,,3.5,,1.3,38.8,5.8,6186.24,17.5
1971,Illinois,11.142000000000001,3326.3,673.1,477.3,,3.75,,1.3,40.5,4.3,6497.08,16.6
1972,Illinois,11.173,3488.1,953.1,508.1,,4.0,,1.6,41.8,3.3,7133.8,16.3
1973,Illinois,11.204,4015.4,873.7,555.9,,4.25,,1.6,44.4,6.2,7580.16,15.7
1974,Illinois,11.235999999999999,4298.2,854.2,627.1,,4.5,,1.6,49.3,11.1,8030.76,15.7
1975,Illinois,11.267000000000001,4907.2,974.8,670.2,,4.75,,1.6,53.8,9.1,8630.92,15.7
1976,Illinois,11.299000000000001,5220.8,1902.4,625.8,6.5,5.0,,2.2,56.9,5.7,9226.48,15.9
1977,Illinois,11.331,5303.5,3312.3,630.6,6.2,5.1,,2.2,60.6,6.5,9779.44,15.9
1978,Illinois,11.363,5748.0,3165.5,676.7,6.0,5.2,,2.2,65.2,7.6,10556.03,16.2
1979,Illinois,11.395,5976.8,3234.8,743.9,5.6,5.3,,2.9,72.6,11.3,11479.46,16.4
1980,Illinois,11.427,6516.1,3772.0,808.0,8.2,5.2,,3.1,82.4,13.5,12513.46,16.8
1981,Illinois,11.427,7063.2,4854.8,792.5,8.6,5.1444,,3.35,90.9,10.3,13773.1,17.6
1982,Illinois,11.427,7402.5,5108.3,774.3,11.4,5.0889,,3.35,96.5,6.1,14531.34,18.7
1983,Illinois,11.427999999999999,7648.4,5805.1,728.1,11.7,5.0333,,3.35,99.6,3.2,15239.24,19.8
1984,Illinois,11.427999999999999,7990.9,4894.7,724.9,9.1,4.9778,62.4,3.35,103.9,4.3,16135.07,20.2
1985,Illinois,11.429,8522.7,5069.9,714.8,9.1,4.9222,60.6,3.35,107.6,3.5,16822.51,20.7
1986,Illinois,11.429,9347.1,5276.8,810.3,8.3,4.8667,60.9,3.35,109.6,1.9,17321.82,20.3
1987,Illinois,11.429,10201.5,5328.7,796.2,7.5,4.8111,61.0,3.35,113.6,3.7,18426.51,19.5
1988,Illinois,11.43,10463.5,5434.1,810.4,6.7,4.7556,61.4,3.35,118.3,4.1,19334.04,18.6
1989,Illinois,11.43,11071.0,5617.9,845.9,6.1,4.7,61.9,3.35,124.0,4.8,20099.55,18.4
1990,Illinois,11.431,12122.9,6101.6,967.4,6.3,4.7,63.0,3.35,130.7,5.4,21027.98,18.3
1991,Illinois,11.526,13040.9,6862.3,1039.2,7.3,4.6429,63.0,3.8,136.2,4.2,21811.6,18.5
1992,Illinois,11.622,13669.0,5262.5,977.3,7.9,4.5857,62.4,4.25,140.3,3.0,22935.42,18.4
1993,Illinois,11.719000000000001,14811.8,5621.2,959.7,7.5,4.5286,61.8,4.25,144.5,3.0,23132.67,18.1
1994,Illinois,11.815999999999999,14782.6,5580.5,960.9,5.8,4.4714,64.2,4.25,148.2,2.6,23753.53,17.4
1995,Illinois,11.915,16255.5,6378.0,996.1,5.2,4.4143,66.4,4.25,152.4,2.8,24705.66,16.5
1996,Illinois,12.014000000000001,17336.0,6339.4,890.4,5.3,4.3571,68.2,4.25,156.9,2.9,25913.9,15.4
1997,Illinois,12.114,17839.3,6658.2,861.4,4.8,4.3,68.1,4.75,160.5,2.3,27426.0,14.6
1998,Illinois,12.215,19764.0,6755.0,807.7,4.5,4.2,68.0,5.15,163.0,1.6,28861.44,14.0
1999,Illinois,12.317,21597.7,6915.7,689.5,4.4,4.1,67.1,5.15,166.6,2.2,30469.84,13.6
2000,Illinois,12.437999999999999,23184.6,6418.2,653.8,4.4,4.0,67.9,5.15,172.2,3.4,32154.82,13.7
2001,Illinois,12.508,24603.8,7384.4,633.1,5.4,4.0,69.4,5.15,177.1,2.8,32921.92,13.9
2002,Illinois,12.558,26514.7,8681.7,601.9,6.6,3.9,70.1,5.15,179.9,1.6,33252.09,14.4
2003,Illinois,12.597999999999999,27416.5,9649.3,556.4,6.7,3.8,70.7,5.15,184.0,2.3,34064.95,14.5
2004,Illinois,12.645,28841.4,9241.3,545.7,6.2,3.7,72.7,5.5,188.9,2.7,35648.55,14.9
2005,Illinois,12.675,29211.9,7405.4,552.2,5.7,3.6,70.9,6.5,195.3,3.4,36952.94,14.4
2006,Illinois,12.718,30027.2,7246.3,541.6,4.6,3.7,70.4,6.5,201.6,3.2,38651.41,14.1
2007,Illinois,12.779000000000002,31324.9,7847.8,533.2,5.1,3.6,69.4,7.5,207.342,2.9,40405.48,13.8
2008,Illinois,12.843,33428.5,8259.4,525.4,6.5,3.5,68.9,7.75,215.303,3.8,41334.97,14.1
2009,Illinois,12.91,35272.4,10039.2,497.2,10.2,3.5,69.1,8.0,214.537,-0.4,40711.61,14.0
2010,Illinois,12.841,35289.1,13878.5,444.9,10.5,3.6,68.8,8.25,218.05599999999998,1.6,41673.83,14.2
2011,Illinois,12.868,35366.1,12813.1,424.0,9.8,3.6,68.4,8.25,224.93900000000002,3.2,42979.61,14.6
2012,Illinois,12.883,36366.6,12391.4,416.2,9.0,3.4,66.8,8.25,229.59400000000002,2.1,44321.67,14.9
2013,Illinois,12.895999999999999,36578.8,9578.5,403.1,9.1,3.3,67.2,8.25,232.957,1.5,44888.16,15.0
2014,Illinois,12.885,37741.2,9941.3,370.9,7.2,3.2,66.4,8.25,236.736,1.6,46481.52,15.2
2015,Illinois,12.86,38422.0,7981.8,387.5,6.0,3.1,65.4,8.25,237.017,0.1,48098.63,
2016,Illinois,12.822000000000001,38400.7,7379.5,436.7,5.9,3.01,65.3,8.25,240.007,1.3,48642.15,
2017,Illinois,12.78,38638.4,7476.1,436.2,5.0,2.9,65.4,8.25,245.12,2.1,50321.89,
2018,Illinois,12.725,39521.3,7452.6,411.4,4.4,2.9,66.0,8.25,251.107,2.4,52145.8,
2019,Illinois,12.667,38151.9,10044.5,406.9,4.0,2.7,65.1,9.25,255.657,1.8,54099.99,
2020,Illinois,12.588,37507.3,10018.5,,9.5,,67.3,9.25,258.66,1.2,54640.99,
2021,Illinois,12.509,37102.6,10034.7,,,,,,,4.8,,
2022,Illinois,12.43,37213.4,10155.6,,,,,,,,,
2023,Illinois,12.352,37964.9,10408.5,,,,,,,,,
2024,Illinois,12.275,39390.0,10800.6,,,,,,,,,
2025,Illinois,12.198,41452.6,11324.7,,,,,,,,,
2026,Illinois,12.120999999999999,44063.3,11963.3,,,,,,,,,
1970,Indiana,5.195,1425.7,165.8,234.6,,3.5,,1.3,38.8,5.8,6186.24,16.9
1971,Indiana,5.224,1557.3,230.2,247.1,,3.75,,1.3,40.5,4.3,6497.08,15.9
1972,Indiana,5.252999999999999,1787.5,306.0,245.1,,4.0,,1.6,41.8,3.3,7133.8,15.5
1973,Indiana,5.282,1765.2,262.2,257.6,,4.25,,1.6,44.4,6.2,7580.16,15.4
1974,Indiana,5.311,1791.2,294.1,293.3,,4.5,,1.6,49.3,11.1,8030.76,15.1
1975,Indiana,5.341,2080.5,432.9,332.8,,4.75,,1.6,53.8,9.1,8630.92,14.8
1976,Indiana,5.37,2191.5,593.2,315.4,6.1,5.0,,2.2,56.9,5.7,9226.48,15.4
1977,Indiana,5.4,2307.6,680.6,310.6,5.8,5.1,,2.2,60.6,6.5,9779.44,15.5
1978,Indiana,5.43,2415.7,680.1,323.5,5.6,5.2,,2.2,65.2,7.6,10556.03,15.8
1979,Indiana,5.46,2696.8,726.7,338.0,6.4,5.3,,2.9,72.6,11.3,11479.46,16.3
1980,Indiana,5.49,2961.0,1001.2,377.8,9.7,5.2,,3.1,82.4,13.5,12513.46,16.8
1981,Indiana,5.496,3356.0,1386.1,341.6,9.7,5.1444,,3.35,90.9,10.3,13773.1,17.9
